  [104/144] seed 25 f2-none    before 0.5228 taught 0.5131
  [102/144] seed 25 f1-none    before 0.6676 taught 0.6677
  [105/144] seed 26 f1-taught  before 0.6111 taught 0.4470
  [103/144] seed 25 f2-taught  before 0.4872 taught 0.3693
  [107/144] seed 26 f2-taught  before 0.4777 taught 0.3925
  [106/144] seed 26 f1-none    before 0.6580 taught 0.6617
  [108/144] seed 26 f2-none    before 0.5246 taught 0.5200
  [109/144] seed 27 f1-taught  before 0.6210 taught 0.4752
  [111/144] seed 27 f2-taught  before 0.4305 taught 0.3377
  [110/144] seed 27 f1-none    before 0.6643 taught 0.6721
  [112/144] seed 27 f2-none    before 0.5041 taught 0.5149
  [113/144] seed 28 f1-taught  before 0.6043 taught 0.3968
  [114/144] seed 28 f1-none    before 0.6520 taught 0.6645
  [118/144] seed 29 f1-none    before 0.6911 taught 0.6747
  [116/144] seed 28 f2-none    before 0.5300 taught 0.5231
  [115/144] seed 28 f2-taught  before 0.5021 taught 0.3802
  [120/144] seed 29 f2-none    before 0.5134 taught 0.5125
  [117/144] seed 29 f1-taught  before 0.6503 taught 0.4050
  [119/144] seed 29 f2-taught  before 0.4586 taught 0.3494
  [122/144] seed 30 f1-none    before 0.6881 taught 0.6738
  [123/144] seed 30 f2-taught  before 0.4368 taught 0.2159
  [121/144] seed 30 f1-taught  before 0.6313 taught 0.5199
  [124/144] seed 30 f2-none    before 0.5090 taught 0.5076
  [125/144] seed 31 f1-taught  before 0.6171 taught 0.5380
  [126/144] seed 31 f1-none    before 0.6620 taught 0.6672
  [129/144] seed 32 f1-taught  before 0.5960 taught 0.4055
  [131/144] seed 32 f2-taught  before 0.4499 taught 0.3179
  [127/144] seed 31 f2-taught  before 0.4387 taught 0.2508
  [128/144] seed 31 f2-none    before 0.5022 taught 0.5056
  [130/144] seed 32 f1-none    before 0.6521 taught 0.6592
  [132/144] seed 32 f2-none    before 0.4974 taught 0.5046
  [134/144] seed 33 f1-none    before 0.6776 taught 0.6723
  [135/144] seed 33 f2-taught  before 0.4642 taught 0.1700
  [133/144] seed 33 f1-taught  before 0.6238 taught 0.4782
  [138/144] seed 34 f1-none    before 0.6663 taught 0.6664
  [139/144] seed 34 f2-taught  before 0.4726 taught 0.3465
  [136/144] seed 33 f2-none    before 0.5175 taught 0.5145
  [140/144] seed 34 f2-none    before 0.5110 taught 0.5140
  [137/144] seed 34 f1-taught  before 0.6176 taught 0.4944
  [141/144] seed 35 f1-taught  before 0.5888 taught 0.4800
  [142/144] seed 35 f1-none    before 0.6493 taught 0.6614
  [143/144] seed 35 f2-taught  before 0.4552 taught 0.2624
  [144/144] seed 35 f2-none    before 0.5239 taught 0.5142
experiment: movability
  instrument        movability   trial seed 00000000013579d8   2000 trials
                    another probe is another trial sequence: its numbers
                    are not comparable with these (~0.05 at 300 trials)
  question          `orthovocab` left a LEAD: equal demands, and the F2 lesson
                    travelled 0.169 where the F1 lesson travelled 0.030. Is F2
                    genuinely easier to steer, or was F1's lesson just FIGHTING
                    the other one on its own axis?
  why it matters    the 137 Hz naming ceiling is an F1 ceiling. If the axes are
                    not symmetric, a vocabulary should be built around the one
                    that moves.
  the design        ONE lesson, no conflict. Teach F1, teach F2, each with its
                    OWN untaught control on the same axis and target.
  the statistic     FRACTION of the demanded move achieved, not raw error: the
                    axes sit at different distances in log space, so a raw
                    comparison would be about the targets, not the axes.
  the refusal       excesses equal at 2 SE means the axes are EQUALLY MOVABLE
                    and orthovocab's gap was the collision. 36 seeds.


  arm         err before       err taught       fraction of the demand achieved
  f1-taught   0.6138           0.4568           +0.256 +/- 0.014
  f1-none     0.6658           0.6682           -0.004 +/- 0.002
  f2-taught   0.4604           0.3070           +0.334 +/- 0.017
  f2-none     0.5143           0.5131           +0.002 +/- 0.002

  ARM LIVENESS vs `f1-none` (seeds where the arm differs at all)
    f1-taught          36/36
    f2-taught          36/36
    f2-none            36/36

  EXCESS over the SAME AXIS's untaught control, paired on seed.
  This is how much of the demanded move REWARD bought, above drift.
    F1  +0.260 +/- 0.014  (+18.8 SE)
    F2  +0.332 +/- 0.017  (+19.0 SE)
  F2 - F1  +0.072 +/- 0.022  (+3.2 SE)   [unpaired: different lessons]

  THE AXES ARE NOT SYMMETRIC. F2 is the more steerable axis by 3.2 SE,
  with no collision anywhere in this run -- so `orthovocab`'s gap was not
  only the collision. A vocabulary should be built around the axis that
  moves, and the 137 Hz ceiling being an F1 ceiling is now a fact about
  WHICH FORMANT was asked to carry naming rather than about naming.
