  [105/144] seed 26 w100     err after 0.9540  taught 0.8627
  [108/144] seed 26 w25      err after 1.1554  taught 1.0697
  [110/144] seed 27 w75      err after 1.1401  taught 1.0493
  [111/144] seed 27 w50      err after 1.1387  taught 1.0651
  [112/144] seed 27 w25      err after 1.0984  taught 1.0678
  [109/144] seed 27 w100     err after 0.9625  taught 0.8427
  [114/144] seed 28 w75      err after 1.1103  taught 1.0440
  [115/144] seed 28 w50      err after 1.1757  taught 1.0427
  [116/144] seed 28 w25      err after 1.0978  taught 1.0436
  [119/144] seed 29 w50      err after 1.1333  taught 1.0797
  [113/144] seed 28 w100     err after 0.9961  taught 0.9104
  [120/144] seed 29 w25      err after 1.1769  taught 1.0980
  [117/144] seed 29 w100     err after 1.0083  taught 0.8683
  [122/144] seed 30 w75      err after 1.1358  taught 1.0480
  [118/144] seed 29 w75      err after 1.1328  taught 1.0806
  [121/144] seed 30 w100     err after 0.9845  taught 0.8290
  [123/144] seed 30 w50      err after 1.1092  taught 1.0553
  [124/144] seed 30 w25      err after 1.1255  taught 1.0533
  [126/144] seed 31 w75      err after 1.0847  taught 1.0241
  [125/144] seed 31 w100     err after 0.9290  taught 0.8310
  [127/144] seed 31 w50      err after 1.1661  taught 1.0478
  [128/144] seed 31 w25      err after 1.1143  taught 1.0560
  [131/144] seed 32 w50      err after 1.1396  taught 1.0775
  [130/144] seed 32 w75      err after 1.1391  taught 1.0677
  [132/144] seed 32 w25      err after 1.1324  taught 1.0746
  [135/144] seed 33 w50      err after 1.1336  taught 1.0596
  [134/144] seed 33 w75      err after 1.1032  taught 1.0547
  [136/144] seed 33 w25      err after 1.1849  taught 1.0484
  [133/144] seed 33 w100     err after 0.9155  taught 0.8446
  [129/144] seed 32 w100     err after 0.9446  taught 0.8783
  [138/144] seed 34 w75      err after 1.1504  taught 1.0736
  [139/144] seed 34 w50      err after 1.1629  taught 1.0831
  [137/144] seed 34 w100     err after 0.9883  taught 0.8846
  [140/144] seed 34 w25      err after 1.1857  taught 1.0701
  [142/144] seed 35 w75      err after 1.1197  taught 1.0324
  [143/144] seed 35 w50      err after 1.1245  taught 1.0563
  [144/144] seed 35 w25      err after 1.1262  taught 1.0657
  [141/144] seed 35 w100     err after 0.9767  taught 0.7903
experiment: maskretain
  instrument        maskretain   trial seed 0000000001351cd4   2000 trials
                    another probe is another trial sequence: its numbers
                    are not comparable with these (~0.05 at 300 trials)
  question          the conflict is a PURE OVERWRITE, so the damage is in the
                    WRITE and separating it is the remaining route. Before
                    asking what a mask must KNOW, ask what it COSTS.
  why this changed  the previous ladder could not answer its own question: a
                    half-group mask left every masked arm at the learning
                    floor, err taught 1.0635 against `off`'s 0.8615. So the
                    mask, not the index, was the binding constraint.
  the arithmetic    dF1 is a rate-weighted centroid over the F1 group, so
                    confining a lesson to a fraction of the group caps the
                    reachable |dF1|: 0.75 leaves 62%, 0.50 leaves 50%, 0.25
                    leaves 38% of the range. The lesson fits or it does not.
  the gate          err TAUGHT vs the unmasked arm, paired on seed, read as a
                    SHARE of what the unmasked creature learned. A cost near
                    100% means the lesson is gone, not merely reduced.
  the refusal       if 0.75 of the group already costs more than half the
                    lesson, no width both leaves room for a second lesson and
                    lets the first one learn, and write separation is refused
                    on this readout for a structural reason.


  arm        err taught     err after      retention     store kept
  w100       0.8615         0.9629 +/- 0.0079  0.30         0.25
  w75        1.0555         1.1225 +/- 0.0037  -22.47       -0.46
  w50        1.0635         1.1381 +/- 0.0050  -3.67        -0.70
  w25        1.0655         1.1403 +/- 0.0060  -68.01       -0.44

  ARM LIVENESS vs `w100` (seeds where the arm differs at all)
    w75                36/36
    w50                36/36
    w25                36/36

  WHAT THE MASK COSTS THE LESSON (err taught vs `w100`, paired on seed).
  The unmasked creature learns 0.1537 of error (1.0152 -> 0.8615); a cost near
  that figure means the lesson is gone rather than merely reduced.
  arm      reachable  cost in err taught     share of the lesson lost
  w75      62        % +0.1940 +/- 0.0077       126%
  w50      50        % +0.2020 +/- 0.0078       131%
  w25      38        % +0.2040 +/- 0.0085       133%

  THE CLIFF IS ABOVE THREE QUARTERS, SO WRITE SEPARATION IS REFUSED ON
  THIS READOUT. Leaving the lesson only 75% of the F1 group already costs
  it more than half of what it learned, so there is no width that both
  leaves room for a second lesson and lets the first one learn. This is a
  property of the readout rather than of the mask: dF1 is a rate-weighted
  centroid over the whole group, so every neuron in it carries the one
  quantity both lessons steer, and partitioning the group partitions the
  range. Two lessons that both move F1 cannot be given disjoint neurons
  without taking the range away from both.
  That also explains `credit`'s ~1.0: a lesson demanding less formant
  travel fits inside half a group, and this one does not.
