  [105/144] seed 26 off      err after 0.9540  taught 0.8627
  [111/144] seed 27 derived  err after 1.0242  taught 0.9724
  [109/144] seed 27 off      err after 0.9625  taught 0.8427
  [110/144] seed 27 oracle   err after 1.0884  taught 1.0651
  [112/144] seed 27 random   err after 1.0748  taught 1.0635
  [113/144] seed 28 off      err after 0.9961  taught 0.9104
  [116/144] seed 28 random   err after 1.0585  taught 1.0200
  [115/144] seed 28 derived  err after 1.0681  taught 1.0415
  [114/144] seed 28 oracle   err after 1.0791  taught 1.0427
  [118/144] seed 29 oracle   err after 1.0997  taught 1.0797
  [117/144] seed 29 off      err after 1.0083  taught 0.8683
  [119/144] seed 29 derived  err after 1.0739  taught 1.0327
  [120/144] seed 29 random   err after 1.0777  taught 1.0530
  [122/144] seed 30 oracle   err after 1.0745  taught 1.0553
  [124/144] seed 30 random   err after 1.0481  taught 1.0199
  [126/144] seed 31 oracle   err after 1.0770  taught 1.0478
  [123/144] seed 30 derived  err after 1.0851  taught 1.0503
  [121/144] seed 30 off      err after 0.9845  taught 0.8290
  [125/144] seed 31 off      err after 0.9290  taught 0.8310
  [128/144] seed 31 random   err after 1.0727  taught 1.0403
  [127/144] seed 31 derived  err after 1.0700  taught 1.0414
  [130/144] seed 32 oracle   err after 1.0897  taught 1.0775
  [132/144] seed 32 random   err after 1.0591  taught 1.0243
  [129/144] seed 32 off      err after 0.9446  taught 0.8783
  [131/144] seed 32 derived  err after 1.0058  taught 0.9704
  [134/144] seed 33 oracle   err after 1.0869  taught 1.0596
  [133/144] seed 33 off      err after 0.9155  taught 0.8446
  [135/144] seed 33 derived  err after 1.0166  taught 0.9943
  [138/144] seed 34 oracle   err after 1.1010  taught 1.0831
  [136/144] seed 33 random   err after 1.0554  taught 1.0126
  [139/144] seed 34 derived  err after 1.1317  taught 1.1572
  [140/144] seed 34 random   err after 1.0919  taught 1.0695
  [137/144] seed 34 off      err after 0.9883  taught 0.8846
  [144/144] seed 35 random   err after 1.0688  taught 1.0312
  [142/144] seed 35 oracle   err after 1.0842  taught 1.0563
  [141/144] seed 35 off      err after 0.9767  taught 0.7903
  [143/144] seed 35 derived  err after 0.9956  taught 0.9405
experiment: maskretain
  instrument        maskretain   trial seed 0000000001351cd4   2000 trials
                    another probe is another trial sequence: its numbers
                    are not comparable with these (~0.05 at 300 trials)
  question          the conflict is a PURE OVERWRITE (store 0.25, behaviour
                    0.30, -1.0 SE), so the damage is in the WRITE. `credit`
                    removes interference with a per-neuron mask -- but only
                    with an oracle. What does the mask have to KNOW?
  the ladder        off / oracle (true lesson) / derived (the creature's own
                    ear-EMA context index) / random (the mask's cost, none of
                    its information).
  the gate          err AFTER, paired on seed, at 2 SE. NOT retention: its
                    denominator collapses and the last run's headline landed
                    on 1.99 vs a 2.0 bar because of it.
  refusals up front oracle <= random refuses the direction outright;
                    oracle > random but derived <= random makes it an INDEX
                    problem, not a mask problem.


  arm        err taught     err after      retention     store kept
  off        0.8615         0.9629 +/- 0.0079  0.30         0.25
  oracle     1.0635         1.0854 +/- 0.0015  -0.03        0.02
